symbol,description,total_quantity,total_cost_basis,avg_cost_per_share
SPLG,SPDR SERIES TRUST PORTFOLIO S&P500,353.27516356,21222.53,60.07365416277156
GLDM,WORLD GOLD TR SPDR GLD MINIS,277.6540176,13997.109999999999,50.41205641823207
QQQ,INVSC QQQ TRUST SRS 1 ETF,33.09894423,13065.27,394.7337386114566
VXUS,VANGUARD TOTAL INTERNATIONAL STK ETF,119.41764221,6509.67,54.51179473592791
TSLA,TESLA INC COM,25.15267676,5232.91,208.0458493515821
VOO,VANGUARD S&P 500 ETF,11.0,4423.04,402.0945454545454
NVDA,NVIDIA CORPORATION COM,81.1872976,3661.03,45.093630509016975
AAPL,APPLE INC COM,21.22723942,3636.84,171.32891979224684
MSFT,MICROSOFT CORP COM,11.45639891,3603.78,314.5648146778786
GOOGL,ALPHABET INC CAP STK CL A,19.493161960000002,3380.29,173.40901424491113
NU,NU HLDGS LTD ORD SHS CL A,250.30480082,3006.83,12.012674108325559
MELI,MERCADOLIBRE INC COM,1.94930943,3006.63,1542.407764374279
QQQM,INVESCO EXCH TRADED FD TR II NASDAQ 100 ETF,14.44193251,3000.0,207.728432321832
META,META PLATFORMS INC CLASS CLASS A,7.12691154,2713.3900000000003,380.7245234869297
AMZN,AMAZON COM INC COM,23.25756487,2634.29,113.2659422740331
ASML,ASML HLDG N V FSPONSORED ADR 1 ADR REPS 1 ORD SHS,4.0,2394.89,598.7225
PLTR,PALANTIR TECHNOLOGIES INCLASS A,52.0,2260.42,43.46961538461539
PYPL,PAYPAL HLDGS INC COM,33.81553724,2011.1599999999999,59.474435840724205
VTWO,VANGUARD RUSSELL 2000 ETF,17.0,1612.86,94.87411764705882
SQM,SOCIEDAD QUIMICA Y MINERA DE SPON ADR SER B,16.38661079,1500.0,91.53814777338714
BHP,BHP GROUP LTD FSPONSORED ADR 1 ADR REPS 2 ORD SHS,39.79858894,1449.51,36.42114051292794
CRBN,ISHARES MSCI ACWI LW CRBN TGT ETF,7.0,1182.55,168.93571428571428
KO,THE COCA-COLA CO,18.0,1115.03,61.94611111111111
XLV,SELECT SECTOR HEALTH CARE SPDR ETF,8.0,1111.74,138.9675
TSM,TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS,12.0,1079.0,89.91666666666667
AMD,ADVANCED MICRO DEVICES INC COM,4.9634685,1000.0,201.4720149830708
WMT,WALMART INC COM,19.65686016,1000.0,50.87282464545955
V,VISA INC COM CL A,4.70283107,1000.0,212.63787389241688
LLY,ELI LILLY AND CO,1.0,829.57,829.57
XOM,EXXON MOBIL CORP COM,7.36881924,816.74,110.83729609847236
ARM,ARM HLDGS PLC EQUITY A FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS,4.0,652.76,163.19
CEG,CONSTELLATION ENERGY COR,2.0,636.56,318.28
CDNS,CADENCE DESIGN SYS INC,2.0,633.11,316.555
XLP,SPDR FUND CONSUMER STAPLES ETF,7.0,571.2,81.60000000000001
TMO,THERMO FISHER SCIENTIFIC,1.0,552.13,552.13
MNST,MONSTER BEVERAGE CORP NE,9.0,520.64,57.84888888888889
SNOW,SNOWFLAKE INC,3.0,516.0,172.0
WFC,WELLS FARGO & CO,7.0,514.14,73.44857142857143
OXY,OCCIDENTAL PETE CORP,8.0,512.63,64.07875
MAGS,LISTED FNDS RONDHL MGNFCNT ETF,8.0,512.48,64.06
VRT,VERTIV HLDGS CO CLASS A,4.0,501.32,125.33
JPM,JPMORGAN CHASE & CO,2.0,500.28,250.14
HERO,GLOBAL X FDS VDEO GAM ESPRT,25.82851239,500.0,19.358451328911396
JNJ,JOHNSON & JOHNSON,3.0,485.85,161.95000000000002
HON,HONEYWELL INTL INC TRADES WITH DUE BILLS,2.0,426.82,213.41
AI,C3 AI INC CLASS A,20.0,289.0,14.45
GLNG,GOLAR LNG LIMITED F,2.7028630199999997,112.28999999999999,41.544835668364726
ORCL,ORACLE CORP COM,0.01978246,6.2,313.4089491397935
RBLX,ROBLOX CORP CL A,10.80415311,0.0,0.0
LIT,GLOBAL X FDS LITHIUM BTRY ETF,7.92785793,0.0,0.0

