Symbol,Price,Change %,P/E,Previous Close,Sector,Description,Updated
AAPL,201.5,0.24875621890547264,31.435259,201.0,Technology,Apple Inc.,2025-06-23 16:58:15
AI,23.41,-0.8050847457627173,,23.6,Technology,"C3.ai, Inc.",2025-06-23 16:58:16
AMD,129.58,1.044915782907052,94.58395,128.24,Technology,"Advanced Micro Devices, Inc.",2025-06-23 16:58:16
AMZN,208.47,-0.581811245171443,33.95277,209.69,Consumer Cyclical,"Amazon.com, Inc.",2025-06-23 16:58:17
ASML,779.72,3.0653113557955476,30.673485,756.53,Technology,ASML Holding N.V. - New York Re,2025-06-23 16:58:17
BHP,46.83,1.4954486345903721,10.453125,46.14,Basic Materials,BHP Group Limited,2025-06-23 16:58:18
CRBN,205.16,1.0789771887471042,20.778984,202.97,N/A,iShares MSCI ACWI Low Carbon Ta,2025-06-23 16:58:18
GLDM,66.86,0.3000300030003043,,66.66,N/A,SPDR Gold MiniShares Trust,2025-06-23 16:58:19
GLNG,41.17,-0.950318777817866,1372.3333,41.565,Energy,Golar LNG Limited,2025-06-23 16:58:20
GOOGL,165.19,-0.8701392222755573,18.41583,166.64,Communication Services,Alphabet Inc.,2025-06-23 16:58:20
HERO,31.6,1.1523687580025703,25.796139,31.24,N/A,Global X Video Games & Esports ,2025-06-23 16:58:21
HON,224.74,1.32551848512173,25.861912,221.8,Industrials,Honeywell International Inc.,2025-06-23 16:58:21
JNJ,151.32,1.0214300020028049,16.832037,149.79,Healthcare,Johnson & Johnson,2025-06-23 16:58:22
JPM,278.27,1.1890909090909025,13.654073,275.0,Financial Services,JP Morgan Chase & Co.,2025-06-23 16:58:22
KO,69.74,1.3073794305636135,28.008032,68.84,Consumer Defensive,Coca-Cola Company (The),2025-06-23 16:58:23
LIT,36.83,1.6280353200882898,22.132307,36.24,N/A,Global X Lithium & Battery Tech,2025-06-23 16:58:24
LLY,770.64,1.037064229806087,62.755703,762.73,Healthcare,Eli Lilly and Company,2025-06-23 16:58:25
MELI,2452.89,2.041758708050966,60.38626,2403.81,Consumer Cyclical,"MercadoLibre, Inc.",2025-06-23 16:58:25
META,698.53,2.3712171173151537,27.296991,682.35,Communication Services,"Meta Platforms, Inc.",2025-06-23 16:58:26
MNST,63.21,0.19020446980503636,41.585526,63.09,Consumer Defensive,Monster Beverage Corporation,2025-06-23 16:58:26
MSFT,486.0,1.8014243820695484,37.55796,477.4,Technology,Microsoft Corporation,2025-06-23 16:58:27
NU,12.34,1.6474464579901094,28.045456,12.14,Financial Services,Nu Holdings Ltd.,2025-06-23 16:58:27
NVDA,144.17,0.22245394508167757,46.356915,143.85,Technology,NVIDIA Corporation,2025-06-23 16:58:28
OXY,43.95,-3.6817882971729117,17.793522,45.63,Energy,Occidental Petroleum Corporatio,2025-06-23 16:58:28
PLTR,139.92,1.9082301529497276,608.3478,137.3,Technology,Palantir Technologies Inc.,2025-06-23 16:58:29
PYPL,72.01,2.7980014275517604,16.182024,70.05,Financial Services,"PayPal Holdings, Inc.",2025-06-23 16:58:29
QQQ,531.65,1.028259218389221,31.13885,526.2389,N/A,"Invesco QQQ Trust, Series 1",2025-06-23 16:58:30
QQQM,218.8,1.0512003524784164,31.099426,216.5239,N/A,Invesco NASDAQ 100 ETF,2025-06-23 16:58:30
RBLX,103.49,1.3713390145949569,,102.09,Communication Services,Roblox Corporation,2025-06-23 16:58:31
SNOW,213.71,0.8113590263691678,,211.99,Technology,Snowflake Inc.,2025-06-23 16:58:32
SPLG,70.79,0.9699044358864739,26.014235,70.11,N/A,SPDR Portfolio S&P 500 ETF,2025-06-23 16:58:33
SQM,32.91,2.587281795511217,15.5971575,32.08,Basic Materials,Sociedad Quimica y Minera S.A.,2025-06-23 16:58:33
TMO,400.21,0.585603699607918,23.445225,397.88,Healthcare,Thermo Fisher Scientific Inc,2025-06-23 16:58:34
TSLA,348.68,8.231934442513031,200.3908,322.16,Consumer Cyclical,"Tesla, Inc.",2025-06-23 16:58:34
TSM,210.32,0.3866163906257469,25.157896,209.51,Technology,Taiwan Semiconductor Manufactur,2025-06-23 16:58:35
V,343.75,1.529964261452582,34.54774,338.57,Financial Services,Visa Inc.,2025-06-23 16:58:35
VOO,553.36,1.029723216241873,26.257244,547.72,N/A,Vanguard S&P 500 ETF,2025-06-23 16:58:36
VXUS,67.12,0.765650803182713,16.083055,66.61,N/A,Vanguard Total International St,2025-06-23 16:58:36
WFC,77.01,2.1352785145888586,13.85072,75.4,Financial Services,Wells Fargo & Company,2025-06-23 16:58:37
WMT,97.87,1.8206408655846857,41.824787,96.12,Consumer Defensive,Walmart Inc.,2025-06-23 16:58:37
XLP,81.4,1.1586015258296338,23.238018,80.4677,N/A,SPDR Select Sector Fund - Consu,2025-06-23 16:58:38
XLV,132.16,0.143972114874591,23.460823,131.97,N/A,SPDR Select Sector Fund - Healt,2025-06-23 16:58:38
XOM,111.74,-2.5806451612903296,14.819629,114.7,Energy,Exxon Mobil Corporation,2025-06-23 16:58:39
